dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU781,4,1,0,0.5759834647,0.5374852419,0.4066051543,0.4020224512,0.4275552034,0.3863167167,0.6240980029,1.043295741,0.6713806391,0.01954230666,0.3846153915,0
IRSTD-1K,XDU369,1,1,1,0.6099540591,0.7164173126,0.7575241923,0.7575241923,3.963550091,8.971424103,4.441464424,nan,4.441464424,nan,0.8333333135,0
IRSTD-1K,XDU369,2,1,1,0.8012247086,0.7903053164,0.6634578109,0.6413547993,1.788487554,2.561722279,1.865424037,0.9773054123,1.656373978,-0.01592111588,0.8333333135,0
IRSTD-1K,XDU369,3,1,0,0.8040280342,0.7744814754,0.6537597179,0.6511137486,0.6307793856,0.9534588456,1.096422672,0.6910367608,0.8052176833,-0.1976566613,0.8333333135,0
IRSTD-1K,XDU369,4,1,0,0.6460433602,0.6333520412,0.4271370173,0.4347606003,1.606703043,1.361965179,1.270374537,0.8315888047,1.278245449,-0.09087640047,0.8333333135,0
IRSTD-1K,XDU398,1,1,1,0.5599518418,0.6792621613,0.7104572654,0.7104572654,9.392407417,23.38047028,10.34842014,nan,10.34842014,nan,0.4444444478,0
IRSTD-1K,XDU398,2,1,1,0.815820694,0.8100013137,0.7108724713,0.6888475418,2.190488577,3.541656494,2.632446051,0.9661533833,2.244057655,-0.02395176888,0.4444444478,0
IRSTD-1K,XDU398,3,1,0,0.6557694077,0.6431576014,0.5655986071,0.5639029145,0.4011650681,0.4918250144,0.8650535941,0.7837107182,0.7183590531,-0.124235332,0.4444444478,0
IRSTD-1K,XDU398,4,1,0,0.5982534885,0.6396771073,0.5733371377,0.5677219629,1.34996891,0.7118849754,0.7687187195,0.9143015742,0.7884990573,-0.0412953496,0.4444444478,0
IRSTD-1K,XDU441,1,1,1,0.5889056325,0.6871353984,0.7561917901,0.7561917901,2.255696774,4.115223885,1.539298415,nan,1.539298415,nan,0.5199999809,0
IRSTD-1K,XDU441,2,1,1,0.8003769517,0.7606415749,0.746569097,0.73832196,1.738367677,1.997653484,2.213813543,0.9484505057,2.045475483,-0.03642034531,0.5199999809,0
IRSTD-1K,XDU441,3,1,0,0.7468351126,0.7458376288,0.6535936594,0.6435145736,3.564045191,2.678632736,1.675800085,0.8257104158,1.67744267,-0.08842128515,0.5199999809,0
IRSTD-1K,XDU441,4,1,0,0.5263673663,0.5990736485,0.4920072854,0.4858960807,1.195303202,1.11546576,1.084760189,0.9656648636,1.081923366,-0.01553839445,0.5199999809,0
