dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_376,3,1,0,0.8221436739,0.809827745,0.8179755211,0.8211550713,1.000338435,2.522435427,3.115127325,0.9729140997,3.1951015,-0.01610946655,0.7209302187,0
NUAA-SIRST,Misc_376,4,1,0,0.5177176595,0.4509747624,0.4453488588,0.4389811754,0.906511724,1.370164514,1.308022141,1.020703077,1.357981324,0.01300096512,0.7209302187,0
NUAA-SIRST,Misc_122,1,1,1,0.545334518,0.6235593557,0.6235593557,0.6235593557,6.582348347,26.75840569,26.75840569,nan,26.75840569,nan,0.4444444478,1
NUAA-SIRST,Misc_122,2,1,1,0.8618897796,0.8406227827,0.8361353278,0.8334044218,3.08475852,3.865809917,3.887358427,1.09452033,4.087021828,0.05501103401,0.4444444478,1
NUAA-SIRST,Misc_122,3,1,0,0.7848220468,0.7589578032,0.7527493834,0.7485318184,0.7629474401,0.9130075574,1.257529855,0.9766823053,1.257375002,-0.01345437765,0.4444444478,1
NUAA-SIRST,Misc_122,4,1,0,0.5624219179,0.5093333125,0.4924231172,0.4854164124,1.156642914,0.6894346476,0.7378260493,1.153740883,0.8022724986,0.08598506451,0.4444444478,1
NUAA-SIRST,Misc_101,1,1,1,0.5625132322,0.6943779588,0.6943779588,0.6943779588,1.836160779,4.50740099,4.50740099,nan,4.50740099,nan,0.5500000119,0
NUAA-SIRST,Misc_101,2,1,1,0.8928061724,0.8819081783,0.8833011985,0.8856656551,1.136709332,1.358382463,1.43571043,1.172391176,1.561336875,0.09262502193,0.5500000119,0
NUAA-SIRST,Misc_101,3,1,0,0.7669018507,0.7371647954,0.714169085,0.7075400949,1.014309049,1.260509372,1.439098358,0.9656911492,1.419798374,-0.01982557774,0.5500000119,0
NUAA-SIRST,Misc_101,4,1,0,0.6186305285,0.5522316694,0.5449675918,0.5222846866,1.040067554,0.9849531054,0.9824610949,0.9998354316,0.9876053333,-0.0001024007797,0.5500000119,0
NUAA-SIRST,Misc_394,1,1,1,0.606425643,0.6520081162,0.6520081162,0.6520081162,2.655711651,7.922461033,7.922461033,nan,7.922461033,nan,0.7804877758,0
NUAA-SIRST,Misc_394,2,1,1,0.8544140458,0.8056817055,0.8129893541,0.8138759732,3.341933489,2.827362299,2.941677332,1.218280315,3.163445234,0.1224741936,0.7804877758,0
